Feature,Min,5th %,Mean,95th %,Max,Samples
Laser Power (W),30.00,90.00,236.93,440.00,950.00,1579
Scan Speed (mm/s),18.76,217.37,928.19,1856.00,10000.00,1579
Hatch space (mm),0.02,0.05,0.10,0.16,0.80,1579
Layer thickness (mm),0.02,0.03,0.04,0.06,0.46,1579
Spot size (mm),0.03,0.05,0.10,0.40,0.40,1579
D50 Î¼m,14.63,22.50,32.45,42.02,68.00,1579
Melting Point (K),853.15,853.15,1474.90,1905.15,1905.15,1579
Thermal Conductivity (W/mK),6.70,6.70,70.17,323.00,323.00,1579
Density (g/cm^3),2.70,2.70,6.48,8.94,8.94,1579
Specific Heat Capacity (J/kgK),383.00,383.00,562.04,915.00,915.00,1579
